Geom;INTERSECTION;URL
"{""coordinates"": [-123.023647166853, 49.2323088893276], ""type"": ""Point""}";BOUNDARY ROAD AND KINGSWAY;https://app.vancouver.ca/vanmapmtc_net/#320770
"{""coordinates"": [-123.02335843473, 49.2054321743042], ""type"": ""Point""}";BOUNDARY ROAD AND MARINE WAY;https://app.vancouver.ca/vanmapmtc_net/#320830
"{""coordinates"": [-123.033692731076, 49.2694599215321], ""type"": ""Point""}";E 1ST AV AND TRANS CANADA HIGHWAY;https://app.vancouver.ca/vanmapmtc_net/#630312
"{""coordinates"": [-123.027505787402, 49.2694674578281], ""type"": ""Point""}";E 1ST AV AND TRANS CANADA HIGHWAY;https://app.vancouver.ca/vanmapmtc_net/#630312
"{""coordinates"": [-123.14043574567, 49.2558813731627], ""type"": ""Point""}";MARPOLE AV AND FIR ST;https://app.vancouver.ca/vanmapmtc_net/#695124
"{""coordinates"": [-123.099513991752, 49.262859261201], ""type"": ""Point""}";KINGSWAY AND E BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#770192
"{""coordinates"": [-123.096558461299, 49.2598509724826], ""type"": ""Point""}";KINGSWAY AND E 12TH AV;https://app.vancouver.ca/vanmapmtc_net/#770196
"{""coordinates"": [-123.178731666949, 49.2301481182812], ""type"": ""Point""}";BLENHEIM ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#815830
"{""coordinates"": [-123.038987137987, 49.207813748129], ""type"": ""Point""}";SE MARINE DRIVE AND MARINE WAY;https://app.vancouver.ca/vanmapmtc_net/#828305
"{""coordinates"": [-123.171398362515, 49.2273527001855], ""type"": ""Point""}";SW MARINE DRIVE AND W 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#830057
"{""coordinates"": [-123.1012275379, 49.2565843255112], ""type"": ""Point""}";MAIN ST AND E 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#190689
"{""coordinates"": [-123.1012275379, 49.2565843255112], ""type"": ""Point""}";MAIN ST AND E 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#190690
"{""coordinates"": [-123.100980107084, 49.2509397802977], ""type"": ""Point""}";MAIN ST AND E 22ND AV;https://app.vancouver.ca/vanmapmtc_net/#190703
"{""coordinates"": [-123.101486354168, 49.2405023727232], ""type"": ""Point""}";MAIN ST AND E 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#190730
"{""coordinates"": [-123.101518589036, 49.2330791487128], ""type"": ""Point""}";MAIN ST AND E 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#190750
"{""coordinates"": [-123.102193665642, 49.211094282372], ""type"": ""Point""}";MAIN ST AND SE MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#190830
"{""coordinates"": [-123.097606874151, 49.2822474872451], ""type"": ""Point""}";GORE AV AND E CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#192589
"{""coordinates"": [-123.097337192047, 49.280341835337], ""type"": ""Point""}";GORE AV AND E PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#192592
"{""coordinates"": [-123.096831254733, 49.2767120738632], ""type"": ""Point""}";GORE AV AND PRIOR ST;https://app.vancouver.ca/vanmapmtc_net/#192600
"{""coordinates"": [-123.099513991752, 49.262859261201], ""type"": ""Point""}";KINGSWAY AND E BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#192650
"{""coordinates"": [-123.098050301931, 49.2724590184314], ""type"": ""Point""}";STATION ST AND TERMINAL AV;https://app.vancouver.ca/vanmapmtc_net/#193630
"{""coordinates"": [-123.098644973131, 49.2725619644746], ""type"": ""Point""}";STATION ST AND TERMINAL AV;https://app.vancouver.ca/vanmapmtc_net/#193630
"{""coordinates"": [-123.09820088506, 49.2677637988991], ""type"": ""Point""}";SCOTIA ST AND E 2ND AV;https://app.vancouver.ca/vanmapmtc_net/#194640
"{""coordinates"": [-123.096325356555, 49.2666315483686], ""type"": ""Point""}";BRUNSWICK ST AND E 2ND AV;https://app.vancouver.ca/vanmapmtc_net/#195643
"{""coordinates"": [-123.098377457372, 49.2108357194396], ""type"": ""Point""}";PRINCE EDWARD ST AND SE MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#197830
"{""coordinates"": [-123.098000574662, 49.2108774122302], ""type"": ""Point""}";PRINCE EDWARD ST AND SE MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#197830
"{""coordinates"": [-123.091442121635, 49.2821339390623], ""type"": ""Point""}";PRINCESS AV AND E CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#198589
"{""coordinates"": [-123.089530713738, 49.2811485648101], ""type"": ""Point""}";HEATLEY AV AND E HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#205590
"{""coordinates"": [-123.089502125169, 49.2710179103365], ""type"": ""Point""}";CAROLINA ST AND TERMINAL AV;https://app.vancouver.ca/vanmapmtc_net/#206630
"{""coordinates"": [-123.089163225897, 49.2597165933554], ""type"": ""Point""}";FRASER ST AND E 12TH AV;https://app.vancouver.ca/vanmapmtc_net/#210670
"{""coordinates"": [-123.090346542615, 49.2403061298003], ""type"": ""Point""}";FRASER ST AND E 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#210730
"{""coordinates"": [-123.090557699938, 49.2328915091199], ""type"": ""Point""}";FRASER ST AND E 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#210750
"{""coordinates"": [-123.09077387286, 49.225471822633], ""type"": ""Point""}";FRASER ST AND E 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#210790
"{""coordinates"": [-123.091000296287, 49.2165571845354], ""type"": ""Point""}";FRASER ST AND E 59TH AV;https://app.vancouver.ca/vanmapmtc_net/#210813
"{""coordinates"": [-123.091185842329, 49.2081850853368], ""type"": ""Point""}";FRASER ST AND E KENT AV NORTH;https://app.vancouver.ca/vanmapmtc_net/#210837
"{""coordinates"": [-123.08478533166, 49.2810590637844], ""type"": ""Point""}";CAMPBELL AV AND E HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#217590
"{""coordinates"": [-123.087444895622, 49.2706708665195], ""type"": ""Point""}";BEGG ST AND TERMINAL AV;https://app.vancouver.ca/vanmapmtc_net/#217630
"{""coordinates"": [-123.083700927477, 49.2538476468086], ""type"": ""Point""}";WINDSOR ST AND KINGSWAY;https://app.vancouver.ca/vanmapmtc_net/#217770
"{""coordinates"": [-123.082600818962, 49.2768308510353], ""type"": ""Point""}";RAYMUR AV AND VENABLES ST;https://app.vancouver.ca/vanmapmtc_net/#219600
"{""coordinates"": [-123.077052898318, 49.2830682055775], ""type"": ""Point""}";CLARK DRIVE AND POWELL ST;https://app.vancouver.ca/vanmapmtc_net/#230580
"{""coordinates"": [-123.077209514362, 49.2776488595931], ""type"": ""Point""}";CLARK DRIVE AND ADANAC ST;https://app.vancouver.ca/vanmapmtc_net/#230598
"{""coordinates"": [-123.077228130828, 49.2767557901435], ""type"": ""Point""}";CLARK DRIVE AND VENABLES ST;https://app.vancouver.ca/vanmapmtc_net/#230600
"{""coordinates"": [-123.077519058648, 49.2614308866525], ""type"": ""Point""}";CLARK DRIVE AND E 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#230655
"{""coordinates"": [-123.077291375599, 49.2252943974205], ""type"": ""Point""}";KNIGHT ST AND E 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#230790
"{""coordinates"": [-123.077058427475, 49.2163887289353], ""type"": ""Point""}";KNIGHT ST AND E 59TH AV;https://app.vancouver.ca/vanmapmtc_net/#230814
"{""coordinates"": [-123.073580174463, 49.265013891473], ""type"": ""Point""}";WOODLAND DRIVE AND GRANDVIEW HWY NORTH;https://app.vancouver.ca/vanmapmtc_net/#234645
"{""coordinates"": [-123.073630847215, 49.2623501582411], ""type"": ""Point""}";WOODLAND DRIVE AND E BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#234650
"{""coordinates"": [-123.072099508606, 49.2110314750099], ""type"": ""Point""}";ARGYLE ST AND SE MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#237830
"{""coordinates"": [-123.069736090032, 49.2637179331288], ""type"": ""Point""}";COMMERCIAL DRIVE AND GRANDVIEW HWY NORTH;https://app.vancouver.ca/vanmapmtc_net/#250647
"{""coordinates"": [-123.065536694432, 49.2327506154927], ""type"": ""Point""}";VICTORIA DRIVE AND E 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#250750
"{""coordinates"": [-123.065153288388, 49.2451645233662], ""type"": ""Point""}";VICTORIA DRIVE AND KINGSWAY;https://app.vancouver.ca/vanmapmtc_net/#250770
"{""coordinates"": [-123.06611124721, 49.2096895759308], ""type"": ""Point""}";VICTORIA DRIVE AND SE MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#250830
"{""coordinates"": [-123.05887886896, 49.2328576599213], ""type"": ""Point""}";NANAIMO ST AND E 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#261750
"{""coordinates"": [-123.056530916608, 49.2847919782587], ""type"": ""Point""}";NANAIMO ST AND DUNDAS ST;https://app.vancouver.ca/vanmapmtc_net/#270580
"{""coordinates"": [-123.056530916608, 49.2847919782587], ""type"": ""Point""}";NANAIMO ST AND DUNDAS ST;https://app.vancouver.ca/vanmapmtc_net/#270585
"{""coordinates"": [-123.215024220423, 49.2691038375266], ""type"": ""Point""}";BLANCA ST AND W 4TH AV;https://app.vancouver.ca/vanmapmtc_net/#020640
"{""coordinates"": [-123.209099613843, 49.2638291692667], ""type"": ""Point""}";SASAMAT ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#024670
"{""coordinates"": [-123.203022261741, 49.2637333673633], ""type"": ""Point""}";DISCOVERY ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#027670
"{""coordinates"": [-123.18588899244, 49.263479194871], ""type"": ""Point""}";ALMA ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#040670
"{""coordinates"": [-123.18511237547, 49.2579291607219], ""type"": ""Point""}";DUNBAR ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#040690
"{""coordinates"": [-123.18511237547, 49.2579291607219], ""type"": ""Point""}";DUNBAR ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#041690
"{""coordinates"": [-123.178721516635, 49.2347537821915], ""type"": ""Point""}";BLENHEIM ST AND W 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#050750
"{""coordinates"": [-123.175943064932, 49.2633236928806], ""type"": ""Point""}";TRUTCH ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#053670
"{""coordinates"": [-123.170234637235, 49.2423138002605], ""type"": ""Point""}";MACKENZIE ST AND W 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#060730
"{""coordinates"": [-123.167730686895, 49.2576559197189], ""type"": ""Point""}";MACDONALD ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#070690
"{""coordinates"": [-123.168407153324, 49.2576667535089], ""type"": ""Point""}";MACDONALD ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#070690
"{""coordinates"": [-123.168410317655, 49.2257792618228], ""type"": ""Point""}";MACDONALD ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#070830
"{""coordinates"": [-123.162472608989, 49.2422394530548], ""type"": ""Point""}";LARCH ST AND W 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#077730
"{""coordinates"": [-123.157505271293, 49.2682058885621], ""type"": ""Point""}";VINE ST AND W 4TH AV;https://app.vancouver.ca/vanmapmtc_net/#084640
"{""coordinates"": [-123.157702717199, 49.2629391693922], ""type"": ""Point""}";VINE ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#084654
"{""coordinates"": [-123.154405563421, 49.21513679681], ""type"": ""Point""}";ARBUTUS ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#085830
"{""coordinates"": [-123.155333945522, 49.2629009868835], ""type"": ""Point""}";YEW ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#087654
"{""coordinates"": [-123.152766149976, 49.2681310913406], ""type"": ""Point""}";ARBUTUS ST AND W 4TH AV;https://app.vancouver.ca/vanmapmtc_net/#090640
"{""coordinates"": [-123.153105879203, 49.251547788], ""type"": ""Point""}";ARBUTUS ST AND W KING EDWARD AV;https://app.vancouver.ca/vanmapmtc_net/#090710
"{""coordinates"": [-123.155426600694, 49.2382962177948], ""type"": ""Point""}";WEST BOULEVARD AND W 37TH AV;https://app.vancouver.ca/vanmapmtc_net/#090739
"{""coordinates"": [-123.150532325627, 49.2194817392287], ""type"": ""Point""}";WEST BOULEVARD AND W 57TH AV;https://app.vancouver.ca/vanmapmtc_net/#090810
"{""coordinates"": [-123.148163972862, 49.2627859309164], ""type"": ""Point""}";CYPRESS ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#097654
"{""coordinates"": [-123.139683627721, 49.2886617595957], ""type"": ""Point""}";DENMAN ST AND COMOX ST;https://app.vancouver.ca/vanmapmtc_net/#110607
"{""coordinates"": [-123.130597257994, 49.2905612452676], ""type"": ""Point""}";CARDERO ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#114600
"{""coordinates"": [-123.129414636208, 49.2897959905806], ""type"": ""Point""}";NICOLA ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#115600
"{""coordinates"": [-123.130043815419, 49.2893796080277], ""type"": ""Point""}";NICOLA ST AND ALBERNI ST;https://app.vancouver.ca/vanmapmtc_net/#115601
"{""coordinates"": [-123.128237147069, 49.2890340269092], ""type"": ""Point""}";BROUGHTON ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#116600
"{""coordinates"": [-123.125521661875, 49.2890270623598], ""type"": ""Point""}";JERVIS ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#117592
"{""coordinates"": [-123.125742731828, 49.2888808207459], ""type"": ""Point""}";JERVIS ST AND MELVILLE ST;https://app.vancouver.ca/vanmapmtc_net/#117597
"{""coordinates"": [-123.129615063353, 49.2863190835969], ""type"": ""Point""}";JERVIS ST AND HARO ST;https://app.vancouver.ca/vanmapmtc_net/#117603
"{""coordinates"": [-123.12208543792, 49.2892349512173], ""type"": ""Point""}";BUTE ST AND W CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#118589
"{""coordinates"": [-123.123372729994, 49.2883915599916], ""type"": ""Point""}";BUTE ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#118592
"{""coordinates"": [-123.124170335692, 49.2878637951194], ""type"": ""Point""}";BUTE ST AND MELVILLE ST;https://app.vancouver.ca/vanmapmtc_net/#118597
"{""coordinates"": [-123.131232631951, 49.2831905196589], ""type"": ""Point""}";BUTE ST AND COMOX ST;https://app.vancouver.ca/vanmapmtc_net/#118607
"{""coordinates"": [-123.133359299114, 49.2817831675822], ""type"": ""Point""}";BUTE ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#118612
"{""coordinates"": [-123.120406926923, 49.2875203293589], ""type"": ""Point""}";THURLOW ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#119592
"{""coordinates"": [-123.124820000355, 49.2846019838144], ""type"": ""Point""}";THURLOW ST AND ROBSON ST;https://app.vancouver.ca/vanmapmtc_net/#119602
"{""coordinates"": [-123.128009299206, 49.2824919387092], ""type"": ""Point""}";THURLOW ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#119606
"{""coordinates"": [-123.129069609385, 49.2817903787631], ""type"": ""Point""}";THURLOW ST AND COMOX ST;https://app.vancouver.ca/vanmapmtc_net/#119607
"{""coordinates"": [-123.13332368094, 49.2789770726873], ""type"": ""Point""}";THURLOW ST AND HARWOOD ST;https://app.vancouver.ca/vanmapmtc_net/#119615
"{""coordinates"": [-123.135432832896, 49.2775813305752], ""type"": ""Point""}";THURLOW ST AND BEACH AV;https://app.vancouver.ca/vanmapmtc_net/#119617
"{""coordinates"": [-123.119394902985, 49.2855539964097], ""type"": ""Point""}";BURRARD ST AND DUNSMUIR ST;https://app.vancouver.ca/vanmapmtc_net/#120595
"{""coordinates"": [-123.121739008488, 49.2840037954005], ""type"": ""Point""}";BURRARD ST AND ALBERNI ST;https://app.vancouver.ca/vanmapmtc_net/#120601
"{""coordinates"": [-123.1275894216, 49.2801331991203], ""type"": ""Point""}";BURRARD ST AND HELMCKEN ST;https://app.vancouver.ca/vanmapmtc_net/#120608
"{""coordinates"": [-123.129181117067, 49.2790800585704], ""type"": ""Point""}";BURRARD ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#120612
"{""coordinates"": [-123.145757815007, 49.2637138643099], ""type"": ""Point""}";BURRARD ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#120650
"{""coordinates"": [-123.145999850954, 49.2571679231462], ""type"": ""Point""}";BURRARD ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#120690
"{""coordinates"": [-123.14824548683, 49.2194528612861], ""type"": ""Point""}";ANGUS DRIVE AND W 57TH AV;https://app.vancouver.ca/vanmapmtc_net/#120810
"{""coordinates"": [-123.144718149383, 49.2475004558752], ""type"": ""Point""}";MARGUERITE ST AND NANTON AV;https://app.vancouver.ca/vanmapmtc_net/#122717
"{""coordinates"": [-123.145148047557, 49.2086036480176], ""type"": ""Point""}";BARNARD ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#122830
"{""coordinates"": [-123.115827348877, 49.2865771720769], ""type"": ""Point""}";HORNBY ST AND W HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#124590
"{""coordinates"": [-123.12816098763, 49.278420121403], ""type"": ""Point""}";HORNBY ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#124612
"{""coordinates"": [-123.129755116459, 49.2773655497645], ""type"": ""Point""}";HORNBY ST AND DRAKE ST;https://app.vancouver.ca/vanmapmtc_net/#124614
"{""coordinates"": [-123.141125262164, 49.2608115336708], ""type"": ""Point""}";FIR ST AND W 12TH AV;https://app.vancouver.ca/vanmapmtc_net/#124670
"{""coordinates"": [-123.141262795519, 49.2570927812721], ""type"": ""Point""}";FIR ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#124690
"{""coordinates"": [-123.141262795519, 49.2570927812721], ""type"": ""Point""}";FIR ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#124691
"{""coordinates"": [-123.120803402004, 49.2819962535201], ""type"": ""Point""}";HOWE ST AND ROBSON ST;https://app.vancouver.ca/vanmapmtc_net/#126602
"{""coordinates"": [-123.125598203261, 49.2788455833812], ""type"": ""Point""}";HOWE ST AND HELMCKEN ST;https://app.vancouver.ca/vanmapmtc_net/#126608
"{""coordinates"": [-123.119828241155, 49.2813646068764], ""type"": ""Point""}";GRANVILLE ST AND ROBSON ST;https://app.vancouver.ca/vanmapmtc_net/#130602
"{""coordinates"": [-123.121421528324, 49.2803113163372], ""type"": ""Point""}";GRANVILLE ST AND SMITHE ST;https://app.vancouver.ca/vanmapmtc_net/#130604
"{""coordinates"": [-123.12779209588, 49.2760951815755], ""type"": ""Point""}";GRANVILLE BRIDGE AND DRAKE ST;https://app.vancouver.ca/vanmapmtc_net/#130614
"{""coordinates"": [-123.138491255108, 49.265347002779], ""type"": ""Point""}";GRANVILLE ST AND W 7TH AV;https://app.vancouver.ca/vanmapmtc_net/#130646
"{""coordinates"": [-123.140147447203, 49.2193507353091], ""type"": ""Point""}";GRANVILLE ST AND W 57TH AV;https://app.vancouver.ca/vanmapmtc_net/#130810
"{""coordinates"": [-123.140217737062, 49.2174133623017], ""type"": ""Point""}";GRANVILLE ST AND W 59TH AV;https://app.vancouver.ca/vanmapmtc_net/#130813
"{""coordinates"": [-123.140522936616, 49.2085343424346], ""type"": ""Point""}";GRANVILLE ST AND W 70TH AV;https://app.vancouver.ca/vanmapmtc_net/#130830
"{""coordinates"": [-123.140519899893, 49.2086242181312], ""type"": ""Point""}";GRANVILLE ST AND W 70TH AV;https://app.vancouver.ca/vanmapmtc_net/#130830
"{""coordinates"": [-123.140573342245, 49.2070736120833], ""type"": ""Point""}";GRANVILLE ST AND W 71ST AV;https://app.vancouver.ca/vanmapmtc_net/#130832
"{""coordinates"": [-123.140643842999, 49.2050742477074], ""type"": ""Point""}";GRANVILLE ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#130840
"{""coordinates"": [-123.115420174491, 49.2829823889227], ""type"": ""Point""}";SEYMOUR ST AND DUNSMUIR ST;https://app.vancouver.ca/vanmapmtc_net/#134595
"{""coordinates"": [-123.120428120462, 49.2796686743399], ""type"": ""Point""}";SEYMOUR ST AND SMITHE ST;https://app.vancouver.ca/vanmapmtc_net/#134604
"{""coordinates"": [-123.123615663425, 49.2775630900056], ""type"": ""Point""}";SEYMOUR ST AND HELMCKEN ST;https://app.vancouver.ca/vanmapmtc_net/#134608
"{""coordinates"": [-123.125206822733, 49.2765088953697], ""type"": ""Point""}";SEYMOUR ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#134612
"{""coordinates"": [-123.126801251404, 49.275453407978], ""type"": ""Point""}";SEYMOUR ST AND DRAKE ST;https://app.vancouver.ca/vanmapmtc_net/#134614
"{""coordinates"": [-123.136000269977, 49.2661466059377], ""type"": ""Point""}";HEMLOCK ST AND W 6TH AV;https://app.vancouver.ca/vanmapmtc_net/#134643
"{""coordinates"": [-123.110953413717, 49.2846779363066], ""type"": ""Point""}";RICHARDS ST AND W CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#138589
"{""coordinates"": [-123.116158614795, 49.2812247921746], ""type"": ""Point""}";RICHARDS ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#138600
"{""coordinates"": [-123.119457899093, 49.2790405349911], ""type"": ""Point""}";RICHARDS ST AND SMITHE ST;https://app.vancouver.ca/vanmapmtc_net/#138604
"{""coordinates"": [-123.121050088526, 49.2779874132818], ""type"": ""Point""}";RICHARDS ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#138606
"{""coordinates"": [-123.124236092333, 49.2758799503469], ""type"": ""Point""}";RICHARDS ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#138612
"{""coordinates"": [-123.125831046114, 49.2748249786257], ""type"": ""Point""}";RICHARDS ST AND DRAKE ST;https://app.vancouver.ca/vanmapmtc_net/#138614
"{""coordinates"": [-123.127479989997, 49.2737346974995], ""type"": ""Point""}";RICHARDS ST AND PACIFIC ST;https://app.vancouver.ca/vanmapmtc_net/#138616
"{""coordinates"": [-123.131260965676, 49.2660711837226], ""type"": ""Point""}";ALDER ST AND W 6TH AV;https://app.vancouver.ca/vanmapmtc_net/#146640
"{""coordinates"": [-123.109952374967, 49.2840580629153], ""type"": ""Point""}";HOMER ST AND W CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#148589
"{""coordinates"": [-123.111913881945, 49.2827610368108], ""type"": ""Point""}";HOMER ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#148592
"{""coordinates"": [-123.115187014047, 49.2805965021074], ""type"": ""Point""}";HOMER ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#148600
"{""coordinates"": [-123.116887837306, 49.279463063806], ""type"": ""Point""}";HOMER ST AND ROBSON ST;https://app.vancouver.ca/vanmapmtc_net/#148602
"{""coordinates"": [-123.126524732736, 49.2651558005585], ""type"": ""Point""}";OAK ST AND W 7TH AV;https://app.vancouver.ca/vanmapmtc_net/#150646
"{""coordinates"": [-123.126589143825, 49.2634065107576], ""type"": ""Point""}";OAK ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#150650
"{""coordinates"": [-123.127224276744, 49.2571467039324], ""type"": ""Point""}";OAK ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#150690
"{""coordinates"": [-123.12771396923, 49.2444720602123], ""type"": ""Point""}";OAK ST AND DEVONSHIRE CRESCENT;https://app.vancouver.ca/vanmapmtc_net/#150719
"{""coordinates"": [-123.127818712954, 49.2414345896128], ""type"": ""Point""}";OAK ST AND W 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#150730
"{""coordinates"": [-123.130046962052, 49.2144586841067], ""type"": ""Point""}";OAK ST AND PARK DRIVE;https://app.vancouver.ca/vanmapmtc_net/#150819
"{""coordinates"": [-123.13024568806, 49.2084713060909], ""type"": ""Point""}";OAK ST AND W 70TH AV;https://app.vancouver.ca/vanmapmtc_net/#150830
"{""coordinates"": [-123.110958664335, 49.2821321728246], ""type"": ""Point""}";HAMILTON ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#156592
"{""coordinates"": [-123.117382007398, 49.2776958763539], ""type"": ""Point""}";MAINLAND ST AND SMITHE ST;https://app.vancouver.ca/vanmapmtc_net/#156604
"{""coordinates"": [-123.118972213365, 49.276641577268], ""type"": ""Point""}";MAINLAND ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#156606
"{""coordinates"": [-123.122160214487, 49.2745351188471], ""type"": ""Point""}";MAINLAND ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#156612
"{""coordinates"": [-123.111536275466, 49.2804691698229], ""type"": ""Point""}";CAMBIE ST AND DUNSMUIR ST;https://app.vancouver.ca/vanmapmtc_net/#157595
"{""coordinates"": [-123.110550859626, 49.2798505836558], ""type"": ""Point""}";BEATTY ST AND DUNSMUIR VIADUCT;https://app.vancouver.ca/vanmapmtc_net/#160595
"{""coordinates"": [-123.121422687248, 49.2083360015602], ""type"": ""Point""}";W 70TH AV AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#161840
"{""coordinates"": [-123.1205999495, 49.2658997334589], ""type"": ""Point""}";MOBERLY ROAD AND W 6TH AV;https://app.vancouver.ca/vanmapmtc_net/#162640
"{""coordinates"": [-123.119871884649, 49.2632984996406], ""type"": ""Point""}";HEATHER ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#163650
"{""coordinates"": [-123.120080661041, 49.2570061766425], ""type"": ""Point""}";HEATHER ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#163690
"{""coordinates"": [-123.117405269715, 49.2658460851031], ""type"": ""Point""}";ASH ST AND W 6TH AV;https://app.vancouver.ca/vanmapmtc_net/#165645
"{""coordinates"": [-123.117502956781, 49.2632605261143], ""type"": ""Point""}";ASH ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#165650
"{""coordinates"": [-123.116130416261, 49.2660448449826], ""type"": ""Point""}";CAMBIE BRIDGE AND W 2ND AV;https://app.vancouver.ca/vanmapmtc_net/#169640
"{""coordinates"": [-123.1147566912, 49.264965471754], ""type"": ""Point""}";CAMBIE ST AND W 7TH AV;https://app.vancouver.ca/vanmapmtc_net/#170646
"{""coordinates"": [-123.114967618878, 49.2603920853582], ""type"": ""Point""}";CAMBIE ST AND W 12TH AV;https://app.vancouver.ca/vanmapmtc_net/#170670
"{""coordinates"": [-123.118436735022, 49.2410839395772], ""type"": ""Point""}";CAMBIE ST AND W 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#170730
"{""coordinates"": [-123.118436735022, 49.2410839395772], ""type"": ""Point""}";CAMBIE ST AND W 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#170733
"{""coordinates"": [-123.116266793789, 49.2316447959488], ""type"": ""Point""}";CAMBIE ST AND W 43RD AV;https://app.vancouver.ca/vanmapmtc_net/#170755
"{""coordinates"": [-123.116771039662, 49.2190536270881], ""type"": ""Point""}";CAMBIE ST AND W 57TH AV;https://app.vancouver.ca/vanmapmtc_net/#170810
