AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area;geo_point_2d
305;650;SKEENA ST AND LOUGHEED HIGHWAY;"{""coordinates"": [-123.02848487870641, 49.2634558160238], ""type"": ""Point""}";Hastings-Sunrise;49.2634558160238, -123.02848487870641
255;648;E 8TH AV AND SEMLIN DRIVE;"{""coordinates"": [-123.06394277196794, 49.26322528994865], ""type"": ""Point""}";Grandview-Woodland;49.26322528994865, -123.06394277196794
280;634;RENFREW ST AND E 4TH AV;"{""coordinates"": [-123.0442588445649, 49.26667032311497], ""type"": ""Point""}";Hastings-Sunrise;49.26667032311497, -123.0442588445649
282;634;NOOTKA ST AND E 4TH AV;"{""coordinates"": [-123.04153021177996, 49.266663375351804], ""type"": ""Point""}";Hastings-Sunrise;49.266663375351804, -123.04153021177996
302;633;E 3RD AV AND CASSIAR ST;"{""coordinates"": [-123.03099607484525, 49.26754849878768], ""type"": ""Point""}";Hastings-Sunrise;49.26754849878768, -123.03099607484525
253;634;VICTORIA DRIVE AND E 4TH AV;"{""coordinates"": [-123.06582128080592, 49.266856066002575], ""type"": ""Point""}";Grandview-Woodland;49.266856066002575, -123.06582128080592
110;617;DENMAN ST AND BEACH AV;"{""coordinates"": [-123.14237526090484, 49.286879023411096], ""type"": ""Point""}";West End;49.286879023411096, -123.14237526090484
114;615;CARDERO ST AND HARWOOD ST;"{""coordinates"": [-123.14079438057895, 49.283812427799255], ""type"": ""Point""}";West End;49.283812427799255, -123.14079438057895
113;613;BURNABY ST AND BIDWELL ST;"{""coordinates"": [-123.14130111154422, 49.2855328650541], ""type"": ""Point""}";West End;49.2855328650541, -123.14130111154422
110;601;DENMAN ST AND ALBERNI ST;"{""coordinates"": [-123.13437161264, 49.29218041017314], ""type"": ""Point""}";West End;49.29218041017314, -123.13437161264
110;603;HARO ST AND DENMAN ST;"{""coordinates"": [-123.13649607420271, 49.290773082606236], ""type"": ""Point""}";West End;49.290773082606236, -123.13649607420271
108;605;BARCLAY ST AND CHILCO ST;"{""coordinates"": [-123.14050694946485, 49.2919773873574], ""type"": ""Point""}";West End;49.2919773873574, -123.14050694946485
119;617;THURLOW ST AND BEACH AV;"{""coordinates"": [-123.1354328320829, 49.27758133498564], ""type"": ""Point""}";West End;49.27758133498564, -123.1354328320829
118;616;PACIFIC ST AND BUTE ST;"{""coordinates"": [-123.13654835648317, 49.27967227492515], ""type"": ""Point""}";West End;49.27967227492515, -123.13654835648317
109;600;GILFORD ST AND W GEORGIA ST;"{""coordinates"": [-123.13531778425553, 49.29361555454329], ""type"": ""Point""}";Downtown;49.29361555454329, -123.13531778425553
081;750;YEW ST AND W 41ST AV;"{""coordinates"": [-123.15852077045902, 49.23462143195551], ""type"": ""Point""}";Arbutus Ridge;49.23462143195551, -123.15852077045902
078;755;BALSAM ST AND W 43RD AV;"{""coordinates"": [-123.1614052712578, 49.23280765533661], ""type"": ""Point""}";Kerrisdale;49.23280765533661, -123.1614052712578
074;755;W 43RD AV AND ELM ST;"{""coordinates"": [-123.16422302410207, 49.232849748756], ""type"": ""Point""}";Kerrisdale;49.232849748756, -123.16422302410207
073;755;W 43RD AV AND TRAFALGAR ST;"{""coordinates"": [-123.1657650968778, 49.232875638474546], ""type"": ""Point""}";Kerrisdale;49.232875638474546, -123.1657650968778
079;739;VINE ST AND W 37TH AV;"{""coordinates"": [-123.15979244783176, 49.23836443003954], ""type"": ""Point""}";Arbutus Ridge;49.23836443003954, -123.15979244783176
109;607;GILFORD ST AND COMOX ST;"{""coordinates"": [-123.14125765289371, 49.289679799588136], ""type"": ""Point""}";West End;49.289679799588136, -123.14125765289371
098;624;CHESTNUT ST AND OGDEN AV;"{""coordinates"": [-123.14619449407705, 49.27676872812532], ""type"": ""Point""}";Kitsilano;49.27676872812532, -123.14619449407705
122;739;MARGUERITE ST AND W 37TH AV;"{""coordinates"": [-123.144249331096, 49.23812747542479], ""type"": ""Point""}";Shaughnessy;49.23812747542479, -123.144249331096
091;739;WALKWAY AND W 37TH AV;"{""coordinates"": [-123.15487438564335, 49.238287184289476], ""type"": ""Point""}";Shaughnessy;49.238287184289476, -123.15487438564335
091;752;W 42ND AV AND EAST BOULEVARD;"{""coordinates"": [-123.15504433346955, 49.23359550073324], ""type"": ""Point""}";Kerrisdale;49.23359550073324, -123.15504433346955
091;735;W 35TH AV AND EAST BOULEVARD;"{""coordinates"": [-123.15445390997738, 49.24006849123703], ""type"": ""Point""}";Shaughnessy;49.24006849123703, -123.15445390997738
120;717;NANTON AV AND PINE CRESCENT;"{""coordinates"": [-123.14758910694, 49.24754519578177], ""type"": ""Point""}";Shaughnessy;49.24754519578177, -123.14758910694
157;589;CAMBIE ST AND W CORDOVA ST;"{""coordinates"": [-123.10911899996232, 49.283518725786074], ""type"": ""Point""}";Downtown;49.283518725786074, -123.10911899996232
172;589;ABBOTT ST AND W CORDOVA ST;"{""coordinates"": [-123.10678798525703, 49.28293019033449], ""type"": ""Point""}";Downtown;49.28293019033449, -123.10678798525703
157;580;WATER ST AND CAMBIE ST;"{""coordinates"": [-123.10877737817347, 49.28431923160268], ""type"": ""Point""}";Downtown;49.28431923160268, -123.10877737817347
186;579;ALEXANDER ST AND COLUMBIA ST;"{""coordinates"": [-123.1021512565094, 49.283769944135976], ""type"": ""Point""}";Downtown;49.283769944135976, -123.1021512565094
090;732;ARBUTUS ST AND QUILCHENA CRESCENT;"{""coordinates"": [-123.15474397126258, 49.24086722262275], ""type"": ""Point""}";Arbutus Ridge;49.24086722262275, -123.15474397126258
121;725;ANGUS DRIVE AND W 32ND AV;"{""coordinates"": [-123.14548801400349, 49.24356027258613], ""type"": ""Point""}";Shaughnessy;49.24356027258613, -123.14548801400349
120;725;PINE CRESCENT AND W 32ND AV;"{""coordinates"": [-123.14695747680742, 49.24358396817932], ""type"": ""Point""}";Shaughnessy;49.24358396817932, -123.14695747680742
092;735;W 35TH AV AND MAPLE ST;"{""coordinates"": [-123.15185062567313, 49.240028729238624], ""type"": ""Point""}";Shaughnessy;49.240028729238624, -123.15185062567313
120;737;W 36TH AV AND PINE CRESCENT;"{""coordinates"": [-123.14697778787693, 49.239062690380514], ""type"": ""Point""}";Shaughnessy;49.239062690380514, -123.14697778787693
122;737;MARGUERITE ST AND W 36TH AV;"{""coordinates"": [-123.14421830245264, 49.23902074219677], ""type"": ""Point""}";Shaughnessy;49.23902074219677, -123.14421830245264
092;730;W 33RD AV AND ASPEN AV;"{""coordinates"": [-123.15054997441482, 49.242049467919685], ""type"": ""Point""}";Arbutus Ridge;49.242049467919685, -123.15054997441482
097;732;CYPRESS ST AND QUILCHENA CRESCENT;"{""coordinates"": [-123.14899611198025, 49.241484998011884], ""type"": ""Point""}";Arbutus Ridge;49.241484998011884, -123.14899611198025
087;722;VALLEY DRIVE AND YEW ST;"{""coordinates"": [-123.15480197500517, 49.24571974423542], ""type"": ""Point""}";Arbutus Ridge;49.24571974423542, -123.15480197500517
124;810;W 57TH AV AND ADERA ST;"{""coordinates"": [-123.14379919679848, 49.21939733668334], ""type"": ""Point""}";Kerrisdale;49.21939733668334, -123.14379919679848
170;802;W 54TH AV AND CAMBIE ST;"{""coordinates"": [-123.11666482689172, 49.22175013035132], ""type"": ""Point""}";Oakridge;49.22175013035132, -123.11666482689172
162;802;W 54TH AV AND TISDALL ST;"{""coordinates"": [-123.12060935425295, 49.22175923029878], ""type"": ""Point""}";Oakridge;49.22175923029878, -123.12060935425295
157;802;W 54TH AV AND NEAL ST;"{""coordinates"": [-123.12251907291214, 49.22148381826226], ""type"": ""Point""}";Oakridge;49.22148381826226, -123.12251907291214
156;802;W 54TH AV AND HEATHER ST;"{""coordinates"": [-123.12374886117878, 49.22147431266537], ""type"": ""Point""}";Oakridge;49.22147431266537, -123.12374886117878
120;650;BURRARD ST AND W BROADWAY;"{""coordinates"": [-123.14575780952204, 49.26371386587398], ""type"": ""Point""}";Kitsilano;49.26371386587398, -123.14575780952204
170;811;CAMBIE ST AND W 58TH AV;"{""coordinates"": [-123.11681946549334, 49.21783105657691], ""type"": ""Point""}";Marpole;49.21783105657691, -123.11681946549334
170;810;CAMBIE ST AND W 57TH AV;"{""coordinates"": [-123.11677104318774, 49.21905362666441], ""type"": ""Point""}";Oakridge;49.21905362666441, -123.11677104318774
150;803;W 55TH AV AND OAK ST;"{""coordinates"": [-123.12852772532659, 49.220508623953215], ""type"": ""Point""}";Oakridge;49.220508623953215, -123.12852772532659
145;803;W 55TH AV AND SELKIRK ST;"{""coordinates"": [-123.13318483378238, 49.22044871100715], ""type"": ""Point""}";Oakridge;49.22044871100715, -123.13318483378238
144;810;HUDSON ST AND W 57TH AV;"{""coordinates"": [-123.13401161427095, 49.21927270191848], ""type"": ""Point""}";Oakridge;49.21927270191848, -123.13401161427095
144;811;HUDSON ST AND W 58TH AV;"{""coordinates"": [-123.13404814135454, 49.218251767504086], ""type"": ""Point""}";Marpole;49.218251767504086, -123.13404814135454
318;770;LINCOLN ST AND KINGSWAY;"{""coordinates"": [-123.02591393171996, 49.23219406215256], ""type"": ""Point""}";Renfrew-Collingwood;49.23219406215256, -123.02591393171996
090;643;W 6TH AV AND ARBUTUS ST;"{""coordinates"": [-123.15283112862893, 49.266416439002974], ""type"": ""Point""}";Kitsilano;49.266416439002974, -123.15283112862893
090;642;ARBUTUS ST AND W 5TH AV;"{""coordinates"": [-123.15279851963642, 49.267273949890246], ""type"": ""Point""}";Kitsilano;49.267273949890246, -123.15279851963642
090;634;W 1ST AV AND ARBUTUS ST;"{""coordinates"": [-123.1526677582851, 49.27077583713537], ""type"": ""Point""}";Kitsilano;49.27077583713537, -123.1526677582851
090;627;CREELMAN AV AND ARBUTUS ST;"{""coordinates"": [-123.15252635905665, 49.274529664465625], ""type"": ""Point""}";Kitsilano;49.274529664465625, -123.15252635905665
095;626;MAPLE ST AND WHYTE AV;"{""coordinates"": [-123.15009301130733, 49.27537301972692], ""type"": ""Point""}";Kitsilano;49.27537301972692, -123.15009301130733
095;642;MAPLE ST AND W 5TH AV;"{""coordinates"": [-123.15039899013625, 49.26723533348316], ""type"": ""Point""}";Kitsilano;49.26723533348316, -123.15039899013625
250;770;VICTORIA DRIVE AND KINGSWAY;"{""coordinates"": [-123.06515328208691, 49.245164525116316], ""type"": ""Point""}";Kensington-Cedar Cottage;49.245164525116316, -123.06515328208691
263;705;SIDNEY ST AND E 27TH AV;"{""coordinates"": [-123.06274996235356, 49.24674247680082], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24674247680082, -123.06274996235356
266;705;GLADSTONE ST AND E 27TH AV;"{""coordinates"": [-123.06040996284226, 49.24673782319483], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24673782319483, -123.06040996284226
266;704;E 25TH AV AND GLADSTONE ST;"{""coordinates"": [-123.06049498617256, 49.2481328668783], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2481328668783, -123.06049498617256
263;703;E 25TH AV AND SIDNEY ST;"{""coordinates"": [-123.06269429617244, 49.24849597409819], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24849597409819, -123.06269429617244
250;704;VICTORIA DRIVE AND E 26TH AV;"{""coordinates"": [-123.06508367909379, 49.247632577017164], ""type"": ""Point""}";Kensington-Cedar Cottage;49.247632577017164, -123.06508367909379
250;703;E 25TH AV AND VICTORIA DRIVE;"{""coordinates"": [-123.06505903684683, 49.24850635144862], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24850635144862, -123.06505903684683
250;702;E 23RD AV AND VICTORIA DRIVE;"{""coordinates"": [-123.06503403892245, 49.2493924404076], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2493924404076, -123.06503403892245
270;708;NANAIMO ST AND E 28TH AV;"{""coordinates"": [-123.05664955681412, 49.24544812094523], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24544812094523, -123.05664955681412
270;706;NANAIMO ST AND E 27TH AV;"{""coordinates"": [-123.05664743931042, 49.24627544046775], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24627544046775, -123.05664743931042
270;705;E 27TH AV AND NANAIMO ST;"{""coordinates"": [-123.05664663583921, 49.24670208467485], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24670208467485, -123.05664663583921
267;705;BRANT ST AND E 27TH AV;"{""coordinates"": [-123.05804534945811, 49.24671624151935], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24671624151935, -123.05804534945811
267;704;BRANT ST AND E 25TH AV;"{""coordinates"": [-123.05799908079261, 49.248106756363605], ""type"": ""Point""}";Kensington-Cedar Cottage;49.248106756363605, -123.05799908079261
038;830;SW MARINE DRIVE AND ALMA ST;"{""coordinates"": [-123.18691116711446, 49.231187359601584], ""type"": ""Point""}";Dunbar-Southlands;49.231187359601584, -123.18691116711446
038;830;ALMA ST AND W 48TH AV;"{""coordinates"": [-123.18697908354363, 49.228306768363055], ""type"": ""Point""}";Dunbar-Southlands;49.228306768363055, -123.18697908354363
040;769;DUNBAR ST AND W 48TH AV;"{""coordinates"": [-123.18547699649304, 49.22829826063368], ""type"": ""Point""}";Dunbar-Southlands;49.22829826063368, -123.18547699649304
040;830;W 47TH AV AND DUNBAR ST;"{""coordinates"": [-123.18545992178434, 49.22936178923492], ""type"": ""Point""}";Dunbar-Southlands;49.22936178923492, -123.18545992178434
050;790;BLENHEIM ST AND W 49TH AV;"{""coordinates"": [-123.17879770978732, 49.22743507262078], ""type"": ""Point""}";Kerrisdale;49.22743507262078, -123.17879770978732
050;830;W 48TH AV AND BLENHEIM ST;"{""coordinates"": [-123.17877133414838, 49.22851856622886], ""type"": ""Point""}";Kerrisdale;49.22851856622886, -123.17877133414838
045;830;GLENDALOUGH PLACE AND SW MARINE DRIVE;"{""coordinates"": [-123.1803359095017, 49.23014676881962], ""type"": ""Point""}";Dunbar-Southlands;49.23014676881962, -123.1803359095017
042;830;COLLINGWOOD ST AND W 47TH AV;"{""coordinates"": [-123.18207487214252, 49.22933928882942], ""type"": ""Point""}";Dunbar-Southlands;49.22933928882942, -123.18207487214252
250;707;VICTORIA DRIVE AND E 28TH AV;"{""coordinates"": [-123.06513466828758, 49.24582504656925], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24582504656925, -123.06513466828758
304;704;E 26TH AV AND SKEENA ST;"{""coordinates"": [-123.02854734054381, 49.24707238024517], ""type"": ""Point""}";Renfrew-Collingwood;49.24707238024517, -123.02854734054381
304;703;E 25TH AV AND SKEENA ST;"{""coordinates"": [-123.02854368889427, 49.24788832938488], ""type"": ""Point""}";Renfrew-Collingwood;49.24788832938488, -123.02854368889427
119;613;BURNABY ST AND THURLOW ST;"{""coordinates"": [-123.13226053275986, 49.27968043767242], ""type"": ""Point""}";West End;49.27968043767242, -123.13226053275986
124;602;HORNBY ST AND ROBSON ST;"{""coordinates"": [-123.1217906158286, 49.28263445035301], ""type"": ""Point""}";Downtown;49.28263445035301, -123.1217906158286
148;602;HOMER ST AND ROBSON ST;"{""coordinates"": [-123.1168878358852, 49.27946306417085], ""type"": ""Point""}";Downtown;49.27946306417085, -123.1168878358852
156;600;W GEORGIA ST AND HAMILTON ST;"{""coordinates"": [-123.11421616157196, 49.27996723521802], ""type"": ""Point""}";Downtown;49.27996723521802, -123.11421616157196
284;759;E 46TH AV AND KILLARNEY ST;"{""coordinates"": [-123.04549046752511, 49.228399839706285], ""type"": ""Point""}";Killarney;49.228399839706285, -123.04549046752511
279;759;E 46TH AV AND VIVIAN ST;"{""coordinates"": [-123.05012858754866, 49.22845264730046], ""type"": ""Point""}";Victoria-Fraserview;49.22845264730046, -123.05012858754866
278;759;WALES ST AND E 46TH AV;"{""coordinates"": [-123.05166481427733, 49.22846182026184], ""type"": ""Point""}";Victoria-Fraserview;49.22846182026184, -123.05166481427733
279;762;E 47TH AV AND VIVIAN ST;"{""coordinates"": [-123.05017592258406, 49.22754854015912], ""type"": ""Point""}";Victoria-Fraserview;49.22754854015912, -123.05017592258406
278;762;E 47TH AV AND WALES ST;"{""coordinates"": [-123.05171334278819, 49.227556866400526], ""type"": ""Point""}";Victoria-Fraserview;49.227556866400526, -123.05171334278819
120;612;BURRARD ST AND DAVIE ST;"{""coordinates"": [-123.12918112087695, 49.27908005678462], ""type"": ""Point""}";West End;49.27908005678462, -123.12918112087695
160;600;BEATTY ST AND W GEORGIA ST;"{""coordinates"": [-123.1122736433189, 49.27870984052802], ""type"": ""Point""}";Downtown;49.27870984052802, -123.1122736433189
118;602;BUTE ST AND ROBSON ST;"{""coordinates"": [-123.12697974111131, 49.286004744593455], ""type"": ""Point""}";West End;49.286004744593455, -123.12697974111131
117;602;ROBSON ST AND JERVIS ST;"{""coordinates"": [-123.12855170280763, 49.287022591181376], ""type"": ""Point""}";West End;49.287022591181376, -123.12855170280763
115;603;HARO ST AND NICOLA ST;"{""coordinates"": [-123.13216956637456, 49.2879727803653], ""type"": ""Point""}";West End;49.2879727803653, -123.13216956637456
117;603;HARO ST AND JERVIS ST;"{""coordinates"": [-123.12961506256866, 49.28631908736505], ""type"": ""Point""}";West End;49.28631908736505, -123.12961506256866
119;603;HARO ST AND THURLOW ST;"{""coordinates"": [-123.12587972168535, 49.28390090662961], ""type"": ""Point""}";West End;49.28390090662961, -123.12587972168535
119;604;HARO ST AND SMITHE ST;"{""coordinates"": [-123.12569852404451, 49.28378320411617], ""type"": ""Point""}";West End;49.28378320411617, -123.12569852404451
117;606;JERVIS ST AND NELSON ST;"{""coordinates"": [-123.1317427198289, 49.284911005582785], ""type"": ""Point""}";West End;49.284911005582785, -123.1317427198289
226;598;VERNON DRIVE AND UNION ST;"{""coordinates"": [-123.07927649656557, 49.27731278547793], ""type"": ""Point""}";Strathcona;49.27731278547793, -123.07927649656557
225;600;VENABLES ST AND GEORGE ST;"{""coordinates"": [-123.07998085410647, 49.276792927156215], ""type"": ""Point""}";Strathcona;49.276792927156215, -123.07998085410647
226;600;VENABLES ST AND VERNON DRIVE;"{""coordinates"": [-123.07929225643635, 49.27678365095925], ""type"": ""Point""}";Strathcona;49.27678365095925, -123.07929225643635
233;580;MCLEAN DRIVE AND POWELL ST;"{""coordinates"": [-123.0740281792961, 49.283233619468355], ""type"": ""Point""}";Grandview-Woodland;49.283233619468355, -123.0740281792961
251;564;SALSBURY DRIVE AND STEWART ST;"{""coordinates"": [-123.06818646625115, 49.285002975623975], ""type"": ""Point""}";Grandview-Woodland;49.285002975623975, -123.06818646625115
251;586;SALSBURY DRIVE AND TRIUMPH ST;"{""coordinates"": [-123.06821960138906, 49.28345533665945], ""type"": ""Point""}";Grandview-Woodland;49.28345533665945, -123.06821960138906
250;587;PANDORA ST AND COMMERCIAL DRIVE;"{""coordinates"": [-123.07034784862421, 49.28308891050692], ""type"": ""Point""}";Grandview-Woodland;49.28308891050692, -123.07034784862421
120;750;W 41ST AV AND ANGUS DRIVE;"{""coordinates"": [-123.14768116447804, 49.23445527181941], ""type"": ""Point""}";Shaughnessy;49.23445527181941, -123.14768116447804
121;755;WILTSHIRE ST AND W 43RD AV;"{""coordinates"": [-123.14638115484094, 49.23257794354875], ""type"": ""Point""}";Kerrisdale;49.23257794354875, -123.14638115484094
120;755;ANGUS DRIVE AND W 43RD AV;"{""coordinates"": [-123.14774979221215, 49.2325991750804], ""type"": ""Point""}";Kerrisdale;49.2325991750804, -123.14774979221215
097;755;W 43RD AV AND CYPRESS ST;"{""coordinates"": [-123.14929714309974, 49.23262260628052], ""type"": ""Point""}";Kerrisdale;49.23262260628052, -123.14929714309974
092;752;MAPLE ST AND W 42ND AV;"{""coordinates"": [-123.15208600945516, 49.23354867304979], ""type"": ""Point""}";Kerrisdale;49.23354867304979, -123.15208600945516
212;596;HAWKS AV AND E GEORGIA ST;"{""coordinates"": [-123.08728682324534, 49.27834739493222], ""type"": ""Point""}";Strathcona;49.27834739493222, -123.08728682324534
218;592;RAYMUR AV AND E PENDER ST;"{""coordinates"": [-123.0826486806415, 49.28007558643209], ""type"": ""Point""}";Strathcona;49.28007558643209, -123.0826486806415
222;592;E PENDER ST AND GLEN DRIVE;"{""coordinates"": [-123.0812995736852, 49.28004544718019], ""type"": ""Point""}";Strathcona;49.28004544718019, -123.0812995736852
217;594;CAMPBELL AV AND KEEFER ST;"{""coordinates"": [-123.08487166532406, 49.27920272888642], ""type"": ""Point""}";Strathcona;49.27920272888642, -123.08487166532406
097;643;CYPRESS ST AND W 6TH AV;"{""coordinates"": [-123.14803228125074, 49.266339544250776], ""type"": ""Point""}";Kitsilano;49.266339544250776, -123.14803228125074
097;642;W 5TH AV AND CYPRESS ST;"{""coordinates"": [-123.14799923043518, 49.26719661356843], ""type"": ""Point""}";Kitsilano;49.26719661356843, -123.14799923043518
097;626;CYPRESS ST AND WHYTE AV;"{""coordinates"": [-123.14769434160986, 49.27533422002678], ""type"": ""Point""}";Kitsilano;49.27533422002678, -123.14769434160986
120;638;W 3RD AV AND BURRARD ST;"{""coordinates"": [-123.14561717384464, 49.26889835692838], ""type"": ""Point""}";Kitsilano;49.26889835692838, -123.14561717384464
120;642;W 5TH AV AND BURRARD ST;"{""coordinates"": [-123.1456297849831, 49.26715836331139], ""type"": ""Point""}";Kitsilano;49.26715836331139, -123.1456297849831
120;643;W 6TH AV AND BURRARD ST;"{""coordinates"": [-123.14566173571681, 49.26630121510918], ""type"": ""Point""}";Kitsilano;49.26630121510918, -123.14566173571681
092;627;LABURNUM ST AND CREELMAN AV;"{""coordinates"": [-123.15134264049111, 49.274510451053864], ""type"": ""Point""}";Kitsilano;49.274510451053864, -123.15134264049111
090;626;ARBUTUS ST AND WHYTE AV;"{""coordinates"": [-123.15185293964485, 49.27540164569598], ""type"": ""Point""}";Kitsilano;49.27540164569598, -123.15185293964485
318;765;FRONTENAC ST AND E 47TH AV;"{""coordinates"": [-123.02596721417854, 49.22637769865782], ""type"": ""Point""}";Killarney;49.22637769865782, -123.02596721417854
318;772;FRONTENAC ST AND E 48TH AV;"{""coordinates"": [-123.0259987038593, 49.22522010017213], ""type"": ""Point""}";Killarney;49.22522010017213, -123.0259987038593
319;765;E 47TH AV AND KIRKLAND ST;"{""coordinates"": [-123.02474197555556, 49.22637230956095], ""type"": ""Point""}";Killarney;49.22637230956095, -123.02474197555556
095;630;CORNWALL AV AND MAPLE ST;"{""coordinates"": [-123.15020423004748, 49.27250191572312], ""type"": ""Point""}";Kitsilano;49.27250191572312, -123.15020423004748
087;631;YORK AV AND YEW ST;"{""coordinates"": [-123.1550039915332, 49.27169585874268], ""type"": ""Point""}";Kitsilano;49.27169585874268, -123.1550039915332
087;634;W 1ST AV AND YEW ST;"{""coordinates"": [-123.15503673611344, 49.270813979708855], ""type"": ""Point""}";Kitsilano;49.270813979708855, -123.15503673611344
087;638;YEW ST AND W 3RD AV;"{""coordinates"": [-123.15510263609717, 49.26905080534305], ""type"": ""Point""}";Kitsilano;49.26905080534305, -123.15510263609717
087;642;W 5TH AV AND YEW ST;"{""coordinates"": [-123.15516791880556, 49.267311405547474], ""type"": ""Point""}";Kitsilano;49.267311405547474, -123.15516791880556
130;683;GRANVILLE ST AND W 13TH AV;"{""coordinates"": [-123.13869872641669, 49.25983205498471], ""type"": ""Point""}";Fairview;49.25983205498471, -123.13869872641669
130;670;GRANVILLE ST AND W 12TH AV;"{""coordinates"": [-123.13866363317712, 49.260771808992956], ""type"": ""Point""}";Fairview;49.260771808992956, -123.13866363317712
134;670;W 12TH AV AND HEMLOCK ST;"{""coordinates"": [-123.13620120794549, 49.26073295526549], ""type"": ""Point""}";Fairview;49.26073295526549, -123.13620120794549
122;654;W 10TH AV AND PINE ST;"{""coordinates"": [-123.14342526392805, 49.262710104135806], ""type"": ""Point""}";Fairview;49.262710104135806, -123.14342526392805
124;654;W 10TH AV AND FIR ST;"{""coordinates"": [-123.1410557753154, 49.262671697204965], ""type"": ""Point""}";Fairview;49.262671697204965, -123.1410557753154
134;654;HEMLOCK ST AND W 10TH AV;"{""coordinates"": [-123.13613172244021, 49.26259289587095], ""type"": ""Point""}";Fairview;49.26259289587095, -123.13613172244021
157;612;PACIFIC BOULEVARD AND DAVIE ST;"{""coordinates"": [-123.12137801910598, 49.274027618139726], ""type"": ""Point""}";Downtown;49.274027618139726, -123.12137801910598
152;614;HAMILTON ST AND DRAKE ST;"{""coordinates"": [-123.12431047068603, 49.27384001813027], ""type"": ""Point""}";Downtown;49.27384001813027, -123.12431047068603
128;616;CONTINENTAL ST AND PACIFIC ST;"{""coordinates"": [-123.12990665311847, 49.27535869061103], ""type"": ""Point""}";Downtown;49.27535869061103, -123.12990665311847
148;608;HOMER ST AND HELMCKEN ST;"{""coordinates"": [-123.12167241953352, 49.27630695915627], ""type"": ""Point""}";Downtown;49.27630695915627, -123.12167241953352
122;683;PINE ST AND W 13TH AV;"{""coordinates"": [-123.14353049351635, 49.259910213897534], ""type"": ""Point""}";Fairview;49.259910213897534, -123.14353049351635
281;758;E 45TH AV AND EARLES ST;"{""coordinates"": [-123.0488178103596, 49.22934067187425], ""type"": ""Point""}";Victoria-Fraserview;49.22934067187425, -123.0488178103596
279;758;VIVIAN ST AND E 45TH AV;"{""coordinates"": [-123.05008015005286, 49.22935483876801], ""type"": ""Point""}";Victoria-Fraserview;49.22935483876801, -123.05008015005286
120;605;BARCLAY ST AND BURRARD ST;"{""coordinates"": [-123.12492871481383, 49.28189346867654], ""type"": ""Point""}";West End;49.28189346867654, -123.12492871481383
120;600;W GEORGIA ST AND BURRARD ST;"{""coordinates"": [-123.1211101043476, 49.284419493586626], ""type"": ""Point""}";Downtown;49.284419493586626, -123.1211101043476
124;600;HORNBY ST AND W GEORGIA ST;"{""coordinates"": [-123.12008274725035, 49.28376451171651], ""type"": ""Point""}";Downtown;49.28376451171651, -123.12008274725035
130;589;GRANVILLE ST AND W CORDOVA ST;"{""coordinates"": [-123.11288449004172, 49.28595660550889], ""type"": ""Point""}";Downtown;49.28595660550889, -123.11288449004172
134;590;SEYMOUR ST AND W HASTINGS ST;"{""coordinates"": [-123.11287506728422, 49.28466596939866], ""type"": ""Point""}";Downtown;49.28466596939866, -123.11287506728422
130;590;W HASTINGS ST AND GRANVILLE ST;"{""coordinates"": [-123.11386626189763, 49.28530727026367], ""type"": ""Point""}";Downtown;49.28530727026367, -123.11386626189763
120;590;W HASTINGS ST AND BURRARD ST;"{""coordinates"": [-123.11702347327036, 49.287122804707316], ""type"": ""Point""}";Downtown;49.287122804707316, -123.11702347327036
138;592;W PENDER ST AND RICHARDS ST;"{""coordinates"": [-123.1128853114284, 49.28338899544858], ""type"": ""Point""}";Downtown;49.28338899544858, -123.1128853114284
134;592;W PENDER ST AND SEYMOUR ST;"{""coordinates"": [-123.113856072791, 49.2840173454552], ""type"": ""Point""}";Downtown;49.2840173454552, -123.113856072791
126;592;HOWE ST AND W PENDER ST;"{""coordinates"": [-123.11583799343674, 49.28530049809359], ""type"": ""Point""}";Downtown;49.28530049809359, -123.11583799343674
124;592;HORNBY ST AND W PENDER ST;"{""coordinates"": [-123.11680908979088, 49.28592826506586], ""type"": ""Point""}";Downtown;49.28592826506586, -123.11680908979088
119;592;W PENDER ST AND THURLOW ST;"{""coordinates"": [-123.12040692371967, 49.28752033339202], ""type"": ""Point""}";Downtown;49.28752033339202, -123.12040692371967
118;597;BUTE ST AND MELVILLE ST;"{""coordinates"": [-123.12417033975413, 49.287863798094335], ""type"": ""Point""}";Downtown;49.287863798094335, -123.12417033975413
119;597;MELVILLE ST AND DUNSMUIR ST;"{""coordinates"": [-123.12141253736118, 49.28607988301175], ""type"": ""Point""}";Downtown;49.28607988301175, -123.12141253736118
130;595;DUNSMUIR ST AND GRANVILLE ST;"{""coordinates"": [-123.11641171154616, 49.28362398573292], ""type"": ""Point""}";Downtown;49.28362398573292, -123.11641171154616
